"Samples per sec. = 2057.14286/1"
""
""
.0788, 4.8539E+00, 1.2279E-03,09-24-15,17:51:49
.0797, 4.9263E+00, 0.0000E+00,09-24-15,17:51:49
.0807, 4.9803E+00, 0.0000E+00,09-24-15,17:51:49
.0817, 4.9509E+00, 1.2279E-03,09-24-15,17:51:49
.0826, 4.9226E+00, 1.2279E-03,09-24-15,17:51:49
.0836, 4.9840E+00, 2.4558E-03,09-24-15,17:51:49
.0846, 4.9361E+00, 0.0000E+00,09-24-15,17:51:49
.0856, 4.9877E+00, 2.4558E-03,09-24-15,17:51:49
.0865, 5.0577E+00, 0.0000E+00,09-24-15,17:51:49
.0875, 4.9386E+00, 0.0000E+00,09-24-15,17:51:49
.0885, 4.9656E+00, 0.0000E+00,09-24-15,17:51:49
.0894, 5.0086E+00, 0.0000E+00,09-24-15,17:51:49
.0904, 4.9472E+00, 0.0000E+00,09-24-15,17:51:49
.0914, 4.9852E+00, 0.0000E+00,09-24-15,17:51:49
.0924, 4.9447E+00, 0.0000E+00,09-24-15,17:51:49
.0933, 4.9386E+00, 1.2279E-03,09-24-15,17:51:49
.0943, 5.0098E+00, 1.2279E-03,09-24-15,17:51:49
.0953, 4.9742E+00, 0.0000E+00,09-24-15,17:51:49
.0963, 4.9251E+00, 0.0000E+00,09-24-15,17:51:49
.0972, 4.9767E+00, 0.0000E+00,09-24-15,17:51:49
.0982, 4.9484E+00, 1.2279E-03,09-24-15,17:51:49
.0992, 4.9239E+00, 0.0000E+00,09-24-15,17:51:49
.1001, 5.0430E+00, 1.2279E-03,09-24-15,17:51:49
.1011, 4.9558E+00, 0.0000E+00,09-24-15,17:51:49
.1021, 5.0098E+00, 1.2279E-03,09-24-15,17:51:49
.1031, 5.0810E+00,-1.2279E-03,09-24-15,17:51:49
.1040, 4.9312E+00, 0.0000E+00,09-24-15,17:51:49
.1050, 4.9631E+00, 0.0000E+00,09-24-15,17:51:49
.1060, 5.0049E+00, 0.0000E+00,09-24-15,17:51:49
.1069, 4.9558E+00, 1.2279E-03,09-24-15,17:51:49
.1079, 4.9865E+00, 1.2279E-03,09-24-15,17:51:49
.1089, 4.9865E+00, 0.0000E+00,09-24-15,17:51:49
.1099, 4.8796E+00, 1.2279E-03,09-24-15,17:51:49
.1108, 4.9423E+00, 0.0000E+00,09-24-15,17:51:49
.1118, 4.9324E+00, 0.0000E+00,09-24-15,17:51:49
.1128, 4.9226E+00,-2.4558E-03,09-24-15,17:51:49
.1137, 4.9865E+00, 1.2279E-03,09-24-15,17:51:49
.1147, 4.9435E+00, 0.0000E+00,09-24-15,17:51:49
.1157, 4.9496E+00, 0.0000E+00,09-24-15,17:51:49
.1167, 5.0135E+00, 0.0000E+00,09-24-15,17:51:49
.1176, 4.9472E+00, 0.0000E+00,09-24-15,17:51:49
.1186, 4.9631E+00, 1.2279E-03,09-24-15,17:51:49
.1196, 5.0147E+00, 0.0000E+00,09-24-15,17:51:49
.1206, 4.8207E+00, 1.2279E-03,09-24-15,17:51:49
.1215, 4.9570E+00, 1.2279E-03,09-24-15,17:51:49
.1225, 5.0037E+00, 0.0000E+00,09-24-15,17:51:49
.1235, 4.9496E+00, 0.0000E+00,09-24-15,17:51:49
.1244, 4.9840E+00, 0.0000E+00,09-24-15,17:51:49
.1254, 4.8109E+00, 0.0000E+00,09-24-15,17:51:49
.1264, 4.8379E+00, 0.0000E+00,09-24-15,17:51:49
.1274, 4.9791E+00, 0.0000E+00,09-24-15,17:51:49
.1283, 4.8354E+00, 0.0000E+00,09-24-15,17:51:49
.1293, 4.9239E+00, 2.4558E-03,09-24-15,17:51:49
.1303, 4.9730E+00, 0.0000E+00,09-24-15,17:51:49
.1313, 4.9472E+00, 1.2279E-03,09-24-15,17:51:49
.1322, 4.9705E+00, 0.0000E+00,09-24-15,17:51:49
.1332, 4.9828E+00, 0.0000E+00,09-24-15,17:51:49
.1342, 4.9447E+00,-2.4558E-03,09-24-15,17:51:49
